path	license_class	spdx	copyright	flags	binary
compaction/task_manager_module.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2023-present ScyllaDB		no
compaction/time_window_compaction_strategy.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2020-present ScyllaDB		no
compaction/time_window_compaction_strategy.hh	dual-licensed	(AGPL-3.0-or-later and Apache-2.0)	Copyright (C) 2017-present ScyllaDB		no
compound.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
compound_compat.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
compress.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2016-present ScyllaDB		no
compress.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
concrete_types.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2019-present ScyllaDB		no
conf/cassandra-rackdc.properties	unknown-license				no
conf/housekeeping.cfg	unknown-license				no
conf/scylla.yaml	unknown-license				no
configure.py	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
converting_mutation_partition_applier.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2020-present ScyllaDB		no
converting_mutation_partition_applier.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
counters.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2016-present ScyllaDB		no
counters.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2016-present ScyllaDB		no
coverage_excludes.txt	unknown-license				no
coverage_sources.list	unknown-license				no
cql3/CMakeLists.txt	unknown-license				no
cql3/Cql.g	Apache-only	Apache-2.0			no
